"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"Başlangıç","EFE","30/1","100%","","","","","","","","25.00","33.60","03-10-22/09:00:18 "
"2 saat sonra ","EFE","30/1","100%","187.4","146","4","49.4","49.7","50","50","25.00","30.40","03-10-22/11:00:18 "
"4 saat sonra ","EFE","30/1","100%","187.4","148","4","49.3","50.1","50","50","25.10","25.10","03-10-22/13:00:18 "
"6 saat sonra ","EFE","30/1","100%","187.4","147","3","48.9","50.6","50","50","25.90","26.40","03-10-22/15:00:18 "
"8 saat sonra ","EFE","30/1","100%","187.4","149","3","48.5","51","50","50","26.10","32.40","03-10-22/17:00:18 "
"24 saat sonra ","EFE","30/1","100%","187.2","148","3","50.5","50","50.1","50.1","25.90","38.30","04-10-22/09:00:00 "
"26 saat sonra ","EFE","30/1","100%","187.2","148","2","51","50","50","49.8","24.00","36.20","04-10-22/11:00:00 "
"28 saat sonra ","EFE","30/1","100%","187.2","152","2","51","49.5","50.1","49.7","24.30","33.90","04-10-22/13:00:00 "
"30 saat sonra ","EFE","30/1","100%","187.2","148","2","50.2","49.5","50.1","49.6","25.10","31.00","04-10-22/15:00:00 "
"32 saat sonra ","EFE","30/1","100%","187.2","148","2","50","50","50.1","49.6","24.60","27.00","04-10-22/17:00:00 "
"48 saat sonra ","EFE","30/1","100%","187.1","145","2","50.2","50.5","50.1","49.6","22.80","33.80","05-10-22/09:00:00 "
"50 saat sonra ","EFE","30/1","100%","187.1","146","2","50","50.5","50.1","49.6","23.30","32.20","05-10-22/11:00:00 "
"52 saat sonra ","EFE","30/1","100%","187.2","147","2","50","50.2","50","49.5","23.60","29.30","05-10-22/13:00:00 "
"54 saat sonra ","EFE","30/1","100%","187.1","149","2","49.9","50.3","50","49.5","24.10","28.40","05-10-22/15:00:00 "
"56 saat sonra ","EFE","30/1","100%","187.1","149","2","50","50","50","49.5","24.60","27.90","05-10-22/17:00:00 "
"72 saat sonra ","EFE","30/1","100%","187.1","149","2","49.6","50.8","50","49.4","23.80","33.80","06-10-22/09:00:00 "
"Başlangıç","GÖK","30/1","100%","193.7","151","5","49.7","50","50","50","22.9","41.2","10-10-22/09:00:53 "
"2 saat sonra ","GÖK","30/1","100%","194","152","4","49.5","49.8","49.7","49.9","23.3","41.1","10-10-22/11:00:53 "
"4 saat sonra ","GÖK","30/1","100%","194.2","153","4","50.5","49.8","49.7","49.9","23.6","41.2","10-10-22/13:00:53 "
"6 saat sonra ","GÖK","30/1","100%","194.4","156","3","50","49.5","49.7","49.8","24.3","40.6","10-10-22/15:00:53 "
"8 saat sonra ","GÖK","30/1","100%","194.5","158","3","50.3","48.8","49.7","49.8","24.6","39.1","10-10-22/17:00:53 "
"24 saat sonra ","GÖK","30/1","100%","194.4","155","3","49.6","50.9","49.7","49.8","22.8","42.5","11-10-22/09:01:26 "
"26 saat sonra ","GÖK","30/1","100%","194.1","156","3","51","49.3","49.7","49.6","23.3","44.3","11-10-22/11:01:26 "
"28 saat sonra ","GÖK","30/1","100%","193.7","160","4","50","48.6","49.9","49.5","23.9","43.1","11-10-22/13:01:26 "
"30 saat sonra ","GÖK","30/1","100%","193.7","156","4","48.8","50.4","49.9","49.5","24.3","40.5","11-10-22/15:01:26 "
"32 saat sonra ","GÖK","30/1","100%","193.6","156","4","49.5","50.2","50","49.5","24.4","42.6","11-10-22/17:01:26 "
"48 saat sonra ","GÖK","30/1","100%","193.5","159","4","49","49.8","50","49.4","23.8","45.4","12-10-22/09:01:26 "
"50 saat sonra ","GÖK","30/1","100%","194.7","159","4","49.5","50","50.8","49","23.0","55.3","12-10-22/11:01:26 "
"52 saat sonra ","GÖK","30/1","100%","196.1","156","4","49.8","50","51.4","48.8","22.7","49.9","12-10-22/13:01:26 "
"54 saat sonra ","GÖK","30/1","100%","196.9","162","5","49.7","50.3","51.9","48.6","24.1","47.8","12-10-22/15:01:26 "
"56 saat sonra ","GÖK","30/1","100%","200","155","6","50.3","49.8","52.6","48.4","23.3","49.4","12-10-22/17:01:26 "
"72 saat sonra ","GÖK","30/1","100%","200.4","154","6","50.7","49","52.7","48.4","23.3","46.5","13-10-22/09:01:26 "
"Başlangıç","EFE","30/1","100%","193","177","4","50","50.5","50","50","21.1","48.8","17-10-22/09:01:26 "
"2 saat sonra ","EFE","30/1","100%","193.5","176","5","50.9","49.3","50.2","49.9","21.7","46.5","17-10-22/11:01:26 "
"4 saat sonra ","EFE","30/1","100%","194.2","184","5","50","49.5","50.5","49.5","22.1","44.6","17-10-22/13:01:26 "
"6 saat sonra ","EFE","30/1","100%","195","177","6","50.2","49.6","50.7","49.4","24.5","41.2","17-10-22/15:01:26 "
"8 saat sonra ","EFE","30/1","100%","196","180","7","50.5","49.8","50.8","49.4","24.7","39.8","17-10-22/17:02:16 "
